date,station,team,defects,items,defect_rate
2022-01-01,S04,A,22.0,165,0.13333333333333333
2022-01-01,S02,C,22.0,201,0.10945273631840796
2022-01-01,S07,B,19.0,165,0.11515151515151516
2022-01-01,S08,B,17.0,168,0.10119047619047619
2022-01-01,S05,A,16.0,156,0.10256410256410256
2022-01-01,S01,A,15.0,158,0.0949367088607595
2022-01-01,S06,A,15.0,160,0.09375
2022-01-01,S04,B,15.0,161,0.09316770186335403
2022-01-01,S07,A,15.0,163,0.09202453987730061
2022-01-01,S10,C,14.0,175,0.08
2022-01-01,S10,B,14.0,176,0.07954545454545454
2022-01-01,S03,A,13.0,194,0.06701030927835051
2022-01-01,S05,C,13.0,175,0.07428571428571429
2022-01-01,S09,C,12.0,179,0.0670391061452514
2022-01-01,S03,B,12.0,215,0.05581395348837209
2022-01-01,S07,C,12.0,149,0.08053691275167785
2022-01-01,S08,A,12.0,131,0.0916030534351145
2022-01-01,S08,C,12.0,151,0.07947019867549669
2022-01-01,S03,C,11.0,187,0.058823529411764705
2022-01-01,S06,C,11.0,164,0.06707317073170732
2022-01-01,S01,B,11.0,165,0.06666666666666667
2022-01-01,S05,B,11.0,153,0.0718954248366013
2022-01-01,S01,C,10.0,174,0.05747126436781609
2022-01-01,S02,A,9.0,188,0.047872340425531915
2022-01-01,S06,B,8.0,178,0.0449438202247191
2022-01-01,S09,B,8.0,144,0.05555555555555555
2022-01-01,S04,C,7.0,147,0.047619047619047616
2022-01-01,S02,B,6.0,140,0.04285714285714286
2022-01-01,S09,A,6.0,164,0.036585365853658534
2022-01-01,S10,A,5.0,141,0.03546099290780142
2022-01-02,S01,C,27.0,256,0.10546875
2022-01-02,S05,B,23.0,228,0.10087719298245613
2022-01-02,S04,B,21.0,185,0.11351351351351352
2022-01-02,S03,B,21.0,183,0.11475409836065574
2022-01-02,S09,C,20.0,195,0.10256410256410256
2022-01-02,S07,B,20.0,171,0.11695906432748537
2022-01-02,S05,C,19.0,231,0.08225108225108226
2022-01-02,S10,B,18.0,186,0.0967741935483871
2022-01-02,S02,A,18.0,179,0.1005586592178771
2022-01-02,S02,B,17.0,206,0.0825242718446602
2022-01-02,S02,C,17.0,179,0.09497206703910614
2022-01-02,S04,C,17.0,162,0.10493827160493827
2022-01-02,S09,A,16.0,223,0.07174887892376682
2022-01-02,S06,B,16.0,173,0.09248554913294797
2022-01-02,S08,B,16.0,145,0.1103448275862069
2022-01-02,S03,C,15.0,162,0.09259259259259259
2022-01-02,S03,A,15.0,177,0.0847457627118644
2022-01-02,S06,A,14.0,208,0.0673076923076923
2022-01-02,S10,A,14.0,150,0.09333333333333334
2022-01-02,S04,A,14.0,170,0.08235294117647059
2022-01-02,S08,C,13.0,215,0.06046511627906977
2022-01-02,S07,A,13.0,169,0.07692307692307693
